Plot (r=??),Species,DBH (cm),Height (m),Notes
HY11,QUEVIR,50.6,12.5,"PLEMIC, TILAUR, TILREC, TILUSN, PHLAUR, VITLIN ,VITROT"
HY11,VITROT,5.8,12.5*,
HY11,VITROT,5.1,12.5*,
HY11,SABPAL,29.9,8.2,"PHLAUR, VITLIN, SMI sp., "
HY11,QUEVIR,7.8,3.4,
HY11,SABPAL,40.4,1.7,
HY11,SABPAL,23.5,5.0,"VITROT, VITLIN, "
HY11,SABPAL,28.6,12.0,"PHLAUR, TILSET"
HY11,SABPAL,28.9,12.1,"PHLAUR, SMI sp., VITROT, "
HY11,SABPAL,23.1,4.3,VITLIN
HY11,QUEVIR,41.2,9.9,"TILAUR, PLEMIC, TILREC"
HY11,SABPAL,34.1,7.8,"TILSET, PHLAUR"
HY11,QUEVIR,35.2,10.3,"TILSET, PLEMIC, TILUSN, TILREC"
HY12,SABPAL,28.0,7.0,PHLAUR
HY12,SABPAL,31.4,6.9,PHLAUR
HY12,SABPAL,28.3,1.7,
HY12,SABPAL,29.2,6.8,PHLAUR
HY12,SERREP,9.5,1.4,
HY12,SABPAL,27.5,6.7,
HY12,SABPAL,30.0,7.2,
HY12,SABPAL,30.8,7.6,PHLAUR
HY12,SABPAL,27.9,5.1,"PHLAUR, VITLIN"
HY12,SABPAL,29.2,9.1,TILREC
HY12,SABPAL,26.3,7.5,PARQUI
HY12,SABPAL,33.2,9.5,
HY12,SABPAL,28.6,8.6,PHLAUR
HY12,SABPAL,53.5,3.1,
HY12,SABPAL,29.9,3.6,VITLIN
HY12,SABPAL,28.3,8.4,"TILSET,"
HY12,SABPAL,28.5,10.2,TILSET
HY12,SABPAL,35.2,9.7,PHLAUR
HY12,SABPAL,42.3,1.6,
HY12,SABPAL,24.1,4.6,PHLAUR
HY12,SABPAL,31.3,7.4,
HY12,SABPAL,29.8,7.5,PHLAUR
HY12,SABPAL,35.2,3.4,
HY12,SABPAL,23.2,1.4,
HY12,SABPAL,24.0,1.8,
HY12,SABPAL,26.2,1.6,
HY12,SABPAL,26.3,6.9,PHLAUR
HY12,SABPAL,51.0,3.5,
HY12,SABPAL,47.5,4.7,
HY12,QUEVIR,34.0,8.4,"TILSET, TILREC, TILUSN, PLEMIC"
HY12,SABPAL,31.2,2.6,
HY12,SABPAL,29.0,5.1,PHLAUR
HY12,QURLAU,50.9,10.7,"TILSET, PARQUI, TILUSN, TILREC"
HY13,SABPAL,36.7,1.5,
HY13,SABPAL,29.8,16.2,"PARQUI, TILUSN, TILREC, PHLAUR, TILSET"
HY13,SABPAL,28.8,11.5,"TILREC, TILUSN, TILSET"
HY13,SABPAL,33.8,11.1,"TILSET, PHLAUR, TILUSN, TILREC"
HY13,SABPAL,30.0,10.4,"PHLAUR, TILUSN, TILSET"
HY13,SABPAL,25.7,8.9,"TILSET, TILREC, TILUSN"
HY13,SABPAL,30.3,7.2,
HY13,SABPAL,30.9,13.3,"TILSET, TILREC, TILUSN, PHLAUR"
HY13,SABPAL,29.5,11.2,"TILSET, TILREC, TILUSN, PHLAUR"
HY13,QUEVIR,43.0,14.8,"TILREC, TILSET, TILUSN"
HY13,SABPAL,26.9,6.5,"TILREC, TILSET, TILUSN"
HY13,SABPAL,13.5,1.4,
HY13,QUEVIR,52.8,15.2,"TILREC, TILUSN, PLEMIC, TILSET"
HY13,SABPAL,33.8,11.3,"TILSET, TILREC"
HY13,SABPAL,28.3,12.4,"PHLAUR, TILREC, TILUSN, TILSET, "
HY13,SABPAL,35.7,12.5,"TILSET, PHLAUR"
HY13,SABPAL,28.1,10.6,"TILREC, TILSET, TILUSN, PHLAUR"
HY13,SABPAL,37.8,9.4,"TILSET, TILUSN, "
HY13,SABPAL,51.5,3.5,
HY13,SABPAL,41.1,6.2,
HY13,SABPAL,38.5,1.5,
HY13,SABPAL,25.2,1.6,
HY13,SABPAL,39.6,12.2,"PHLAUR, "
HY13,SABPAL,44.0,5.7,
HY13,SABPAL,33.2,3.1,
HY13,SABPAL,31.2,7.8,"TILSET, "
HY13,SABPAL,31.9,9.1,"TILSET, PHLAUR"
HY13,SABPAL,28.6,9.3,"TILSET, VITLIN, TILUSN, PHLAUR"
HY13,SABPAL,33.2,13.5,"TILREC, TILSET, PARQUI, PHLAUR, TILUSN"
HY13,SABPAL,29.1,10.6,"TILSET, TILREC, PHLAUR"
HY13,SABPAL,31.3,12.3,"TILUSN, TILREC, TILSET, PHLAUR, "
HY13,SABPAL,29.0,10.9,"TILUSN, TILREC, TILSET, "
HY13,SABPAL,32.0,11.8,"TILSET, PHLAUR, TILUSN, TILREC"
HY13,SABPAL,23.3,6.5,"VITLIN, TILSET, PHLAUR"
HY13,SABPAL,22.4,6.8,PHLAUR
HY13,SABPAL,32.8,12.6,"PHLAUR, PARQUI, TILREC, "
HY13,SABPAL,38.5,12.8,"TILSET, PHLAUR, PARQUI, TILUSN, "
HY13,SABPAL,25.7,13.0,"TILREC, TILUSN, TILSET"
HY13,SABPAL,30.3,12.3,"TILUSN, TILSET, TILREC, PHLAUR"
HY13,SABPAL,26.2,13.3,"TILUSN, TILREC, VITLIN, TILSET"
HY13,SABPAL,35.5,11.0,"TILREC, TILUSN, TILSET, "
HY13,SABPAL,22.8,3.7,"VITLIN, TILSET, PHLAUR"
HY13,SABPAL,30.9,16.6,"TOXRAD, TILREC, TILUSN, "
HY14,,,,
HY15,,,,
CD1,TAXASC,21.5,15.8,
CD1,TAXASC,19.4,13.4,
CD1,TAXASC,16.0,10.6,
CD1,TAXASC,25.2,15.3,
CD1,TAXASC,25.8,16.7,
CD1,TAXASC,10.5,7.4,
CD1,TAXASC,21.5,20.0,
CD1,TAXASC,9.7,7.5,DEAD
CD1,TAXASC,13.7,12.1,Browning
CD1,TAXASC,27.0,19.5,
CD1,TAXASC,34.3,19.5*,
CD1,TAXASC,24.1,19.6,
CD1,TAXASC,11.9,10.7,
CD1,TAXASC,20.8,14.5,
CD1,TAXASC,22.6,19.3,
CD1,TAXASC,22.5,18.4,
CD1,TAXASC,15.3,13.3,
CD1,TAXASC,20.1,19.3,
CD1,TAXASC,24.2,19.6,
CD1,TAXASC,19.5,18.2,
CD1,TAXASC,21.3,19.3,
CD1,TAXASC,15.8,13.5,
CD1,TAXASC,21.4,18.4,
CD1,TAXASC,25.2,19.4,
CD1,TAXASC,10.2,8.3,
CD1,TAXASC,26.0,20.8,
CD1,TAXASC,16.6,16.9,
CD1,TAXASC,28.7,21.6,
CD1,TAXASC,31.2,21.8,
CD1,TAXASC,18.0,19.2,
CD1,TAXASC,15.0,12.5,
CD1,TAXASC,34.3,19.3,TOXRAD
CD1,TAXASC,28.7,19.3*,
CD1,TAXASC,24.1,19.9,
CD1,TAXASC,25.2,20.4,
CD1,TAXASC,24.3,18.2,
CD1,TAXASC,29.5,19.7,
CD1,TAXASC,26.2,19.3,
CD1,TAXASC,17.9,18.5,
CD1,TAXASC,22.8,18.3,
CD1,TAXASC,18.4,16.5,
CD1,TAXASC,14.7,17.1,
CD1,TAXASC,28.6,21.7,
CD1,TAXASC,25.2,21.3,
CD1,TAXASC,17.2,16.3,Browning/dying
CD1,TAXASC,7.8,5.4,
CD1,TAXASC,16.0,12.9,
CD1,TAXASC,18.6,18.3,
CD1,TAXASC,24.2,19.0,
CD1,TAXASC,11.8,9.3,DEAD
CD1,TAXASC,23.5,19.8,
CD1,TAXASC,16.5,16.0,
CD1,TAXASC,30.2,19.1,
CD1,TAXASC,29.5,19.2,
CD1,TAXASC,12.2,12.9,
CD1,TAXASC,12.3,12.9,
CD1,TAXASC,22.5,19.1,
CD1,TAXASC,21.2,19.3,
CD1,TAXASC,17.0,17.1,
CD1,TAXASC,21.1,19.0,
CD1,TAXASC,6.8,5.0,
CD1,TAXASC,21.9,15.7,
CD1,TAXASC,15.2,12.2,
CD1,TAXASC,9.8,9.0,Split
CD1,TAXASC,16.2,15.8,Spit
CD1,TAXASC,21.2,18.6,
CD1,TAXASC,23.2,18.4,
CD1,TAXASC,29.5,15.3,
CD1,TAXASC,22.7,15.0,
CD1,TAXASC,16.9,14.8,
CD1,TAXASC,26.5,15.4,
CD1,TAXASC,16.7,14.0,
CD1,TAXASC,12.1,7.9,
CD1,TAXASC,23.7,13.9,
CD1,TAXASC,22.8,18.7,
CD1,TAXASC,11.0,9.4,
CD2,TAXASC,27.7,19.0,
CD2,TAXASC,11.5,10.4,
CD2,TAXASC,29.2,19.3,
CD2,TAXASC,17.0,10.2,
CD2,TAXASC,15.8,10.2*,
CD2,TAXASC,41.0,19.6,
CD2,NA,42.5,16.5,DEAD
CD2,TAXASC,26.8,19.3,
CD2,TAXASC,13.6,9.1,
CD2,TAXASC,39.6,18.5,
CD2,TAXASC,22.0,18.5*,
CD2,TAXASC,16.0,17.5,
CD2,TAXASC,25.8,18.0,
CD2,TAXASC,36.8,17.8,
CD2,TAXASC,17.9,11.5,
CD2,TAXASC,35.5,19.1,
CD2,TAXASC,45.3,19.2,
CD2,TAXASC,30.4,19.3,
CD2,TAXASC,33.4,9.0,DEAD
CD2,TAXASC,38.8,16.5,
CD2,TAXASC,16.9,9.4,
CD2,TAXASC,23.7,12.2,
CD2,TAXASC,21.2,12.1,DEAD
CD2,TAXASC,24.5,19.3,DEAD
CD2,TAXASC,35.1,19.5,
CD2,TAXASC,41.5,24.4,
CD2,TAXASC,32.9,20.1,
CD2,TAXASC,34.5,18.1,
CD2,TAXASC,35.0,10.4,DEAD
CD2,TAXASC,35.1,21.0,
CD2,TAXASC,35.0,21.1,
CD2,TAXASC,34.2,22.3,
CD2,TAXASC,40.8,22.4,
CD2,TAXASC,37.2,25.6,
CD2,TAXASC,34.0,25.0,
CD2,TAXASC,32.0,14.3,
CD2,TAXASC,25.2,25.0,
CD2,TAXASC,33.5,24.3,
CD2,TAXASC,37.8,25.4,
CD2,TAXASC,42.2,23.4,
CD2,TAXASC,25.8,14.3,DEAD
CD3,TAXASC,33.4,19.5,
CD3,TAXASC,34.8,21.0,
CD3,TAXASC,48.2,25.5,
CD3,TAXASC,33.6,24.5,
CD3,TAXASC,38.9,3.4,DEAD
CD3,TAXASC,37.0,22.5,
CD3,TAXASC,33.2,22.9,
CD3,TAXASC,29.6,21.3,
CD3,TAXASC,30.5,22.4,
CD3,TAXASC,25.7,11.2,DEAD
CD3,TAXASC,24.5,19.3,
CD3,TAXASC,25.7,15.5,
CD3,TAXASC,29.0,21.1,
CD3,TAXASC,29.5,20.0,
CD3,TAXASC,23.1,15.8,
CD3,TAXASC,33.5,23.7,
CD3,TAXASC,25.8,19.3,
CD3,TAXASC,29.5,1.8,DEAD
CD3,TAXASC,26.2,17.8,
CD3,TAXASC,33.2,20.1,
CD3,TAXASC,30.0,19.3,
CD3,TAXASC,37.2,19.3*,
CD3,TAXASC,34.9,20.4,
CD3,TAXASC,35.0,21.4,
CD3,TAXASC,11.2,7.6,
CD3,TAXASC,14.8,10.0,
CD3,TAXASC,32.2,20.7,
CD3,TAXASC,35.7,21.0,
CD3,TAXASC,2.8,1.8,Split
CD3,TAXASC,2.5,2.6,Split
CD3,TAXASC,14.6,11.9,
CD3,TAXASC,23.0,18.0,
CD3,TAXASC,21.6,10.5,
CD3,TAXASC,22.4,12.1,
CD3,TAXASC,28.5,17.6,
CD3,TAXASC,21.7,18.0,Split
CD3,TAXASC,11.1,9.1,Split
CD3,TAXASC,25.9,20.4,
CD3,TAXASC,16.9,13.9,
CD3,TAXASC,10.9,10.5,
CD3,TAXASC,6.3,5.5,
CD3,TAXASC,19.9,15.1,
CD3,TAXASC,12.6,8.0,
CD3,TAXASC,22.9,16.4,
CD3,TAXASC,13.5,9.1,
CD3,TAXASC,5.5,5.3,
CD3,TAXASC,21.5,15.5,
CD3,TAXASC,8.9,6.6,
CD3,TAXASC,32.7,19.8,
CD3,TAXASC,23.1,12.2,
CD3,TAXASC,18.0,14.6,
CD3,TAXASC,8.9,5.0,Split
CD4,TAXASC,15.2,12.6,Split
CD4,TAXASC,26.6,20.8,
CD4,TAXASC,22.4,23.7,
CD4,TAXASC,38.0,21.0,
CD4,TAXASC,24.8,18.4,
CD4,TAXASC,31.2,19.6,
